Emplyee name,Will be retrenched
Keira Till,0
Keira Y Till,1
Keith B Macha,0
Keith E Moyes,0
Keith Q Ofarrell,0
Keitha Foran,0
Kellee L Gravelle,0
Ken X Weisberg,1
Kendrick Burchette,0
Kendrick C Burchette,0
Kenneth Lucius,0
Kenton Q Villalta,1
Kenton Villalta,0
Kermit L Mcphail,0
Kermit Mcphail,0
Kerri Y Card,0
Keven A Jewell,0
Keven Bingham,0
Keven F Bingham,0
Keven H Araiza,0
Khalilah A Campo,0
Kiara G Abrahamson,0
Kiara T Martinez,0
Kieth D Castelli,0
Kieth G Coney,0
Kimberlee J Hawkins,1
Kimberly Duquette,0
Kimberly K Carr,0
Kindra V Cruickshank,0
Kirby W Estrella,0
Kirstie Macey,0
Kirstie W Macey,0
Kitty S Sickles,0
Kizzy W Brazelton,0
Korey I Garrity,0
Korey U Eddington,0
Kori J Fairfax,0
Kraig P Brownfield,0
Kris Bice,0
Kris L Bice,0
Krishna G Raby,0
Krissy S Valazquez,0
Kristal F Bickford,0
Kristen A Beauchemin,0
Kristie E Jain,0
Kristle D Figgs,0
Kristofer N Calahan,0
Kristofer Y Fizer,0
Kristopher Alejos,1
Kurtis C Irons,0
Kylie K Freda,0
Lacy Deshotel,0
Lacy Q Deshotel,0
Lakenya Z Mccroskey,0
Lala C Marquez,0
Lala R Denman,0
Lamar A Partida,0
Lamar L Legg,0
Lamar W Estill,1
Lamont J Brescia,0
Lance Pennington,0
Lanelle W Berlanga,0
Larisa Still,1
Larisa X Strauss,0
Larry K Mash,1
Larry Osby,0
Lashaunda Y Munden,0
Latanya C Law,0
Latia Gleaton,1
Latrice Kirch,0
Launa N Kohl,1
Lauren O Guzzi,0
Lauren R Hennessy,0
Laurena P Caston,1
Laurence K Ryles,0
Laurinda Dinh,0
Lavada Maldanado,0
Lavada W Maldanado,0
Lavette P Cheney,0
Lawerence W Abernethy,0
Leanna X Tibbetts,0
Leda X Haskell,0
Leda Y Fabre,0
Leif Harness,0
Leif Y Harness,0
Leigh Y Haws,0
Leland C Fifield,0
Leland David,0
Lemuel V Darden,0
Lemuel W Hardman,0
Lenny U Rister,1
Leonel S Yuan,0
Leonia Y Derosier,0
Leonore Reason,0
Leopoldo U Hole,0
Leroy H Styron,0
Les Priolo,0
Les V Bejarano,0
Les V Gran,0
Lesha K Cai,0
Lesley Macpherson,0
Leslie I Stolte,0
Leslie Stolte,0
Lester Coldiron,0
Letha L Apel,0
Leticia V Lewandowski,0
Lewis M Racette,0
Lezlie Z Bohannan,0
Lia J Liner,0
Lia Liner,0
Liana T Quesenberry,0
Liane U Grafton,0
Lianne M Sweeney,0
Lianne Sweeney,0
Liberty A Shroyer,0
Lidia Kuiper,0
Lidia S Gerling,0
Ligia Hoeft,0
Lilli Tartt,0
Lincoln D Cauley,0
Lincoln D Demaria,0
Lincoln Demaria,0
Lindsey W Whittle,0
Lindy M Reel,0
Linette Q Menard,0
Linh U Ashton,0
Linn Plummer,0
Lino M Lizarraga,0
Linsey P Orsini,0
Linwood H Carter,0
Linwood J Franqui,0
Lisa C Sheridan,0
Lisette F Cowley,0
Liz R Lomonaco,0
Lizzette G Moyle,0
Lizzette Moyle,0
Lizzie D Ratcliff,0
Logan D Berryman,0
Lois Cozad,0
Lona T Collar,0
Londa Petrey,0
Londa T Maya,0
Loraine Barnes,0
Loralee V Ball,0
Loren H Mckenzie,1
Loren I Casady,0
Loren Isaac,0
Lorette Y Petrillo,0
Lorri Garney,0
Lorriane P Ho,1
Lottie Bonin,0
Lottie G Bonin,0
Lou Baine,0
Louann X Sakamoto,0
Love G Lent,0
Lowell Demmer,0
Lucas Funes,0
Lucas P Funes,0
Luciana N Campfield,0
Lucienne U Clyne,0
Lucinda Z Borton,0
Lucius C Moorhead,0
Lucy Reiser,0
Luella W Kemmerer,0
Luigi G Lembo,0
Luke S Tumlin,0
Lyla Donald,0
Lyla Q Donald,0
Lyn Q Tso,0
Lyn Tso,1
Lyndon Dunkley,0
Lynn M Blocher,0
Lynwood Durfee,0
Lynwood Q Durfee,0
Mac Lineberry,0
Mac U Palmquist,0
Mac V Lineberry,0
Mack L Lykes,0
Madalene J Martine,0
Madelyn W Boos,0
Magaly Mcneel,0
Magaly U Mcneel,0
Maire Mair,0
Malcolm Y Bonaparte,0
Malcom Darrah,0
Malcom L Meister,0
Man W Bean,0
Mandy Lavalley,0
Mandy W Lavalley,0
Marcell T Farias,0
Marcella Mapp,0
Marcella Z Mapp,0
Marcellus H Macintyre,0
Marcellus Jalbert,0
Marco J Desilva,0
Marg Dunfee,0
Margarett E Mulford,0
Margarite E Blalock,0
Margarito M Oxendine,0
Margarito O Retana,0
Margarito Retana,0
Marget Dials,0
Margit E Gallion,0
Margit Gallaher,0
Margrett M Confer,1
Mariam F Pinheiro,0
Mariano F Leary,0
Mariano Y Kyles,0
Maricela Pendergrass,0
Marina X Quayle,0
Maris S Briggs,0
Marissa S Hughes,0
Marivel Seiter,0
Mark F Hamman,0
Marketta Candelaria,0
Markus J Lamm,0
Marlana W Zak,0
Marleen R Guyette,0
Marlon M Caddell,0
Marni O Otter,0
Mary Y Tate,0
Maryellen E Zackery,0
Maryellen H Hartness,0
Maryjo Mccloy,0
Maryln H Springfield,0
Marylouise Howland,0
Marylyn K Ditto,0
Marylynn Ealey,0
Marylynn G Ealey,0
Mason Shiflett,0
Mathilda Monty,0
Matt D Bramblett,0
Mauricio I Streets,0
Mauricio U Talty,0
Maximina K Frates,1
Maxwell Azevedo,0
Maxwell H Azevedo,0
Maybelle Rush,0
Mckinley H Scofield,0
Meda I Hayner,0
Mei H Silvera,0
Melida R Corle,0
Mellissa Hembree,0
Mervin E Goering,0
Mervin Goering,0
Meryl B Jude,0
Meryl Gow,0
Meryl I Nau,0
Meryl Nau,0
Mica Z Herzberg,0
Micaela N Buker,1
Micheal F Mcleroy,0
Mickey E Hentges,0
Mickey Hentges,0
Micki R Jauregui,0
Mignon H Ballesteros,0
Mignon Q Dills,0
Miguel P Karp,0
Mika J Rodriquez,0
Mika Rodriquez,0
Mike A Waddington,0
Miles Lambert,0
Miles N Light,0
Millicent G Mangan,0
Millicent Mangan,0
Min X Buckmaster,0
Mina P Shotwell,0
Mina Shotwell,0
Minta J Branham,0
Mirian E Gorman,0
Mirtha Herzig,0
Mirtha X Herzig,0
Misti H Mendenhall,0
Misti Royal,0
Moises U Hughs,0
Molly U Rasch,0
Monte F Mcginn,0
Monty C Hughes,0
Morgan Carriere,0
Morgan K Rathbun,0
Morgan Leonetti,0
Morgan O Carriere,0
Morgan V Leonetti,0
Mose Brucker,0
Mose O Brucker,0
Mumin Yusha,0
Murray D Pennock,0
Myles G Strum,0
Myra H Parra,0
Myron Elsea,0
Myron V Elsea,0
Nadia B Rosner,0
Nancy V Trogdon,0
Nannette Ressler,0
Nannie Z Seeman,0
Narcisa C Rayburn,1
Natasha L Mcelhannon,0
Nathan Avendano,0
Nathan V Avendano,0
Nathanael G Mcmillin,0
Nathanael Halloway,0
Nathanael W Ohl,0
Neil Gebhard,0
Neil V Gebhard,0
Neil Z Stoughton,0
Nelida E Cheeks,0
Nella Mckeown,0
Nelson Dubuc,0
Nelson O Dubuc,0
Neomi P Pitchford,0
Nestor T Ventura,0
Nettie T Mccandless,1
Newton L Cromartie,0
Newton V Scalia,0
Ngoc P Pogue,0
Ngoc X Watson,0
Nicholas B Salcedo,0
Nick Q Packard,0
Nickolas G Grossi,0
Nicola S Bellis,0
Nicolle A Crothers,0
Nigel K Wadsworth,0
Nigel O Sansom,0
Nigel V Dupras,0
Nikia Z Thrasher,0
Nilsa Arambula,0
Noah O Love,0
Noble Sanderson,0
Noel Garon,0
Nolan V Velazco,0
Norris P Ewen,0
Novella B Osman,0
Novella Osman,0
Odette Gorden,0
Olevia U Cartier,0
Oliver Mouzon,0
Omer H Moultrie,0
Ona K Koepp,0
Oren M Mcnabb,1
Oren Mcnabb,1
Orval N Pichardo,0
Orval Olinger,0
Orval Q Olinger,1
Orval Q Schlesinger,0
Orville Marcantel,0
Orville Massey,0
Oscar R Bovee,0
Oswaldo Baumbach,0
Otha Sylvester,0
Otha T Orrell,0
Otto Reilly,0
Palmer O Beamer,0
Pansy Duchesne,0
Pansy F Duchesne,0
Paola R Timberlake,0
Paris U Leite,0
Patria D Riedel,1
Patrick H Gilleland,0
Patty Hosey,0
Paz J Hegwood,0
Perry E Huddleston,0
Perry Outland,0
Pete B Donnelly,0
Petrina B Dampier,0
Petrina Dampier,0
Phil Czarnecki,0
Phil G Czarnecki,0
Phil T Urena,0
Philip Trinidad,0
Philip X Trinidad,0
Phillip Crabill,0
Phyllis Figueredo,0
Porfirio Houghton,0
Porsche Dearing,0
Prince Maloof,0
Providencia Hennings,0
Queenie M Alder,0
Quinn Linneman,0
Rachelle M Burkhead,0
Rafaela Madrid,0
Rafaela N Madrid,0
Raguel Yeager,0
Ramon Heldt,0
Ramona V Hemphill,0
Ramona W Rand,0
Ramonita Z Fincher,0
Randal J Kahle,0
Randal Kahle,0
Randee O Cassity,0
Randee X Blunt,0
Raphael W Kellner,0
Rashida M Durante,0
Raye T Willmon,0
Raymon I Chavarria,0
Raymond U Flavin,0
Raymundo Pecora,1
Reagan H Costas,0
Reanna I Hampton,0
Reatha E Osby,0
Rebeca Kromer,0
Reed O Vella,0
Reed Vella,0
Reggie Cramer,0
Reinaldo Castellanos,0
Reinaldo G Castellanos,1
Renaldo K Cheatham,0
Rene Morel,0
Ressie Goodwyn,0
Ressie I Goodwyn,0
Retha G Nealy,0
Rex K Dion,0
Reyes X Segal,0
Reynalda M Millwood,0
Reynaldo S Service,1
Rhett A Chapple,0
Rhett H Goode,0
Rich Cleek,0
Rich Q Rehberg,0
Rich Rehberg,0
Richard C Truman,0
Richard J Fetter,0
Richelle Haffner,0
Richie I Weisz,0
Rick E Armenta,0
Rick Y Haefner,0
Rickey I Delk,0
Rina L Chacon,0
Rob Spier,0
Robbie N Heckman,0
Robert Ancheta,0
Robert C Ancheta,0
Robert F Trudeau,0
Robert Winsor,0
Roberto A Fresquez,0
Roberto U Derry,0
Robin Z Stewart,0
Rod Catania,0
Rodney Leonardo,0
Rogelio Finnerty,0
Rogelio Ledezma,0
Rolando Womble,0
Ronnie E Swim,0
Ronnie G Gumbs,0
Ronnie H Upton,0
Ronnie Upton,0
Rory Syed,0
Rosa Iler,0
Rosaline H Brenneman,0
Rosalva G Shepley,0
Rosanna D Standley,0
Roscoe Tunney,0
